iter	Passed	Remaining
937	2234	147
938	2235	145
939	2237	142
940	2238	140
941	2239	137
942	2241	135
943	2242	133
944	2246	130
945	2247	128
946	2249	125
947	2250	123
948	2252	121
949	2253	118
950	2254	116
951	2256	113
952	2259	111
953	2260	109
954	2262	106
955	2263	104
956	2265	101
957	2266	99
958	2267	96
959	2270	94
960	2272	92
961	2273	89
962	2275	87
963	2276	85
964	2278	82
965	2279	80
966	2280	77
967	2283	75
968	2285	73
969	2287	70
970	2288	68
971	2290	65
972	2291	63
973	2293	61
974	2294	58
975	2297	56
976	2298	54
977	2300	51
978	2301	49
979	2302	46
980	2304	44
981	2305	42
982	2308	39
983	2311	37
984	2312	35
985	2313	32
986	2315	30
987	2316	28
988	2317	25
989	2319	23
990	2322	21
991	2324	18
992	2325	16
993	2327	14
994	2328	11
995	2329	9
996	2331	7
997	2333	4
998	2335	2
999	2337	0
